HOME PLAYS	TIME	"SCORE, HOME"	"SCORE, VISITOR"	MAR	VISITOR PLAYS
	19:45				"TURNOVR by JACKSON,Miles"
STEAL by Rasheed Sulaimon 	19:43				
MISSED LAYUP by Rasheed Sulaimon 	19:41				
REBOUND (OFF) by Jake Layman	19:41				
	19:40				"FOUL by BECK,Justin (P1T1)"
MISSED 3 PTR by Jake Layman                     	19:20				
REBOUND (OFF) by Robert Carter 	19:20				
MISSED 3 PTR by Rasheed Sulaimon	19:16				"REBOUND (DEF) by JACKSON,Miles"
REBOUND (DEF) by (TEAM)	19:02				"MISSED 3 PTR by JACKSON,Andre"
TURNOVR by Robert Carter 	18:43				
REBOUND (DEF) by Melo Trimble	18:29				"MISSED JUMPER by BECK,Justin"
TURNOVR by Melo Trimble	18:22				
REBOUND (DEF) by Melo Trimble	18:16				"MISSED 3 PTR by JACKSON,Miles"
	18:06				"FOUL by EBINUM,Enuoma (P1T2)"
GOOD! LAYUP by Diamond Stone [PNT]  	17:56	2	0	H 2	
REBOUND (DEF) by Robert Carter 	17:33				"MISSED JUMPER by WELLS,Dayshawn"
GOOD! LAYUP by Diamond Stone [FB/PNT]   	17:25	4	0	H 4	
ASSIST by Jake Layman 	17:25				
	17:10				"MISSED LAYUP by BECK,Justin"
	17:10				"REBOUND (OFF) by JACKSON,Miles"
	17:06	4	2	H 2	"GOOD! TIP-IN by JACKSON,Miles [PNT]"
	16:49				"FOUL by WELLS,Dayshawn (P1T3)"
GOOD! LAYUP by Jake Layman [PNT] 	16:39	6	2	H 4	
ASSIST by Robert Carter 	16:39				
	16:24				"MISSED JUMPER by JACKSON,Andre"
	16:24				"REBOUND (OFF) by BECK,Justin"
FOUL by Melo Trimble (P1T1)	16:15				"MISSED FT SHOT by EBINUM,Enuoma"
	16:15				REBOUND (OFF) by (DEADBALL)
	16:15	6	3	H 3	"GOOD! FT SHOT by EBINUM,Enuoma"
SUB IN : Jared Nickens	16:15				"SUB IN : LIVINGSTON,Julian"
SUB OUT: Melo Trimble 	16:15				"SUB IN : BRISCOE,Michael"
	16:15				"SUB OUT: JACKSON,Miles"
	15:50				"FOUL by EBINUM,Enuoma (P2T4)"
TIMEOUT MEDIA 	15:50				
